data$Geneid,C36,D01,D04,D05,D15,D16,D19,D20,D25,D31,D38,D41,D51,D57
LOC100132287,99.6688771436593,105.91561245632374,64.45121641325672,81.959992507929,92.01647789979175,92.4522978368951,96.99386427690554,141.48550943171205,129.32339672700317,80.43106458670633,84.9715361252731,106.96788871200937,102.13752452109155,66.4826724137176
LOC100133331,82.62025342171758,89.34378193594657,70.4189216367064,76.99272023472119,72.9785859205245,95.06887230397703,88.2892867135935,119.6300242349435,107.18695944940804,76.15281647039217,80.19785432048248,99.22679150258763,98.05202354024789,71.46887284474641
B3GALT6,88.52170009469741,82.13863823143474,33.419149251318295,76.99272023472119,75.09390725155419,81.98599996856734,109.428975081637,94.32367295447469,103.69173251084038,66.740670614501,36.27998171640874,75.29976376437502,98.05202354024789,72.29990624991788
ATAD3A,371.1354241007313,435.1906797525139,353.288149228222,353.91814946605706,371.23889359571155,355.8541275231434,360.61821333721286,370.3929596504982,489.33177139947145,403.0109725567945,343.7050899449249,450.39111036635524,381.585791610798,362.3305646547609
RER1,251.1393417501415,278.11854699415625,250.64361938488722,230.97816070416354,255.95388105459315,218.92006374585537,292.22510391118976,225.45658413508585,281.9483063777907,260.9731350951642,265.4167083463587,251.93752736117995,252.48396061613832,275.0720571117566
ARHGEF16,404.57695524761704,422.9419354548438,395.0620857923698,370.0617843539825,411.4299988852758,387.25302112812665,424.0372784413434,496.92471605284226,463.70010718330866,420.97961464531403,448.7260896503186,479.24429087419986,404.4645971035225,391.41673383576233
LRRC47,576.3746250610297,502.19851620447383,386.70729847954027,522.8054067551229,438.9291761886618,532.0368083066604,506.1090097525712,557.8900168648807,441.56366990571354,468.04034392476984,401.94400796337055,458.8359436857244,513.1389231939639,456.237339439137
LINC01646,28.195800770903617,26.65903170669373,27.4514440278686,39.73817818566255,23.26853464132665,38.37642551720174,28.6007548508824,27.60692866960235,23.301512923784355,30.803386437462,35.32524535545062,30.964388837686922,26.96430647356817,36.565469827544675
AJAP1,655.7162969977585,704.6630543012559,587.22219398745,456.9890491351193,631.4234173123641,638.4441699679925,530.9792313620342,621.1558950660528,566.2267640479598,521.9462701903284,744.6943615473373,683.3277627589546,530.2980273135073,812.7506702576976
ACOT7,1999.2789895461658,2165.866197576253,1982.471675229989,1917.3670974582178,1976.7677838472503,1982.4912545590807,1933.659730135745,2215.4560257355884,2137.913810757215,2046.7138988446973,1815.9085585423534,2057.7243854862854,1933.2590641352208,2030.2146088339011
TNFRSF25,93.76743047067947,114.56178490173794,83.54787312829573,84.44362864453291,85.67051390670267,88.09134039175854,100.72439751832498,115.02886945667645,114.17741332654334,90.69886006586033,87.83574520814747,104.85668038216707,108.67432609044141,83.10334051714699
CASZ1,2585.489359062162,2975.0038355929305,2444.372059524995,2263.834338514463,2697.0346970628616,2336.600999104169,2504.43131607292,2789.450084324404,2894.047905134017,3267.7259112407605,2650.3481380197545,3163.9975503236456,2448.849287917691,2588.669057109129
CLCN6,457.0342590074377,447.439424050184,457.12622011624666,499.21086345738576,431.52555153005784,429.9904040904649,451.3945222117527,439.41028132450407,474.18578799901167,421.83526426857685,453.4997714551093,508.80120749199193,451.0393082851403,455.4063060339655
AADACL3,76.71880674873775,49.71549156113156,66.83829850263659,42.221814322266454,49.71005127919784,78.4972340124581,41.03586565561388,52.91327995007117,64.07916054040697,59.0398240051355,47.73681804790624,64.74372211516356,48.20891157395521,95.56884159471905
C1orf158,44.58870819584758,51.8770346724851,57.289970145117074,38.496360117360595,58.171336603316625,66.28655316607573,53.470976460345355,63.26587820117205,55.92363101708246,52.194627019032836,35.32524535545062,61.928777675373844,58.01411392798,45.70683728443085
PRAMEF25,7.868595563973103,13.689773038572458,13.12895149158933,3.725454204905864,3.172981996544543,9.594106379300435,9.948088643785184,5.751443472833823,4.660302584756871,8.556496232628334,12.411572692455621,11.259777759158881,8.988102157856057,6.64826724137176
RAP1GAP,794.0724356642856,901.3634774344287,759.0921044228013,731.4308422298512,801.7067844602545,745.7237231183519,767.2463366519322,827.0575713935037,870.3115077033457,883.8860608305068,918.456379241716,958.4885817483997,722.3165734131594,768.7058997836097
MAN1C1,2586.8007916561573,2710.5750616373466,2795.2731266638375,2940.6251857390284,2792.224156959198,2688.0941691821763,2837.6922856397237,2965.444254593119,2676.1787592966334,2727.810998961913,2815.5175284655097,2669.9748011405495,2796.1168712894023,2600.3035247815296
LINC01648,51.80158746282292,54.03857778383865,54.9028880557372,31.045451707548864,59.22899726883147,74.13627656732153,44.766398897033326,55.2138573392047,59.418857955650104,60.75112325166117,66.83154526706873,61.928777675373844,51.477312358630144,60.66543857751731
RBBP4,412.4455508115901,433.02913664116033,428.4812350436881,435.87814197398603,446.33280084726573,469.239021096694,460.0990997750647,448.61259088103816,462.53503153711944,497.988080738969,545.1544621070892,472.910665884673,486.9917169165645,437.1235711201932
ZSCAN20,103.60317492564585,100.15149749271428,100.25744775395488,110.52180807887396,107.88138788251446,95.94106379300435,82.07173131122777,73.61847645227293,88.54574911038056,89.8432104425975,105.97573606635184,93.59690262300819,88.2468211862231,110.5274428878055
THRAP3,1611.7506580204904,1632.6855634423782,1465.6684028792451,1741.0289317593404,1569.568427624034,1471.3870419890757,1597.911738407995,1735.7856401012477,1645.0868124191754,1546.1588692359398,1586.7718319124033,1501.7728586278156,1707.7394099926507,1665.390943963626
LINC01137,272.1222632540698,235.6081991375365,303.1594253512445,293.06906411926127,274.9917730338604,252.93553181792055,268.59839338219996,272.6184206123232,273.7927768544662,295.19912002567753,292.1493264531862,280.7907078690246,272.9114655203566,226.87211961181129
BMP8A,433.4284723155184,402.7675330822107,504.86786190384424,445.8126865204017,370.1812329301967,379.4032977268808,383.00141278572954,460.1154778267058,415.93200568955075,443.22650485014765,439.1787260407374,390.57354102082365,419.98950083072845,400.55810129264853
CITED4,7.212879266975344,7.205143704511819,8.354787312829574,7.450908409811728,4.230642662059391,4.360957445136561,11.191599724258332,13.803464334801175,3.4952269385676535,13.690393972205333,0.9547363609581248,4.22241665968458,11.439402746362253,9.141367456886169
CCDC30,637.3562406818213,592.9833268813228,738.8019066630723,578.6872198287108,612.3855253330968,778.8669997013898,664.034916972661,620.0056063714861,596.5187308488795,647.7267648099648,759.0154069617092,631.2512906228447,606.2883455571995,679.7853254302624
PTPRF,1437.9858393160844,1546.9443533586877,1475.2167312367646,1681.4216644808464,1665.815548185885,1521.1019568636325,1471.0736081997338,1949.7393372906658,1720.8167294214747,1588.9413503990816,1240.2025328846041,1750.895441549206,1380.082231328989,1414.4188556018419
SKINT1L,168.51908832842395,175.0849920196372,255.41778356364696,140.32544171812086,179.8023131375241,201.47623396530912,160.41292938103607,156.43926246107998,151.45983400459832,172.84122389909234,194.76621763545745,224.49181907323018,159.33453825290283,203.60318426701014
AGBL4,2015.016180674112,2282.5895255893442,2579.2421975749585,1553.5144034457453,2093.1104570538837,2948.0072329123154,1684.9575140411155,1744.9879496577819,2168.2057775581343,2416.354536094241,2990.2342825208466,3335.0054250408707,1937.3445651160646,2374.2624385748895
ELAVL4,348.84107000280756,428.7060504184533,438.02956340120767,345.2254229879434,363.8352689371076,507.6154466138957,344.45256929106193,377.29469181789875,429.91291344382137,358.51719214712716,452.54503509415116,492.61527696320104,366.0608878835921,405.54430172367734
SHISAL2A,380.31545225869996,414.2957630094296,404.6104141498894,343.98360491964144,353.2586622819591,384.63644666104466,364.3487465786323,373.84382573419845,405.4463248738478,339.6929004353448,326.51983544767864,360.3128882930842,424.89210200774085,437.1235711201932
SSBP3,3877.2504641477462,4187.629521062269,3580.6231340698173,4059.5032652790896,3680.6591159916698,3660.5876794476294,3927.007992134201,4282.524809872064,4146.504224787426,4028.3984263214193,3884.8222527386097,3635.5007439884234,3926.983542786928,3717.2124213319853
MYSM1,318.67812034091065,301.89552121904524,340.1591977366326,314.1799712803945,326.81714564408793,343.643446676761,351.91363577390086,295.6241945036585,326.221180932981,335.41465231903067,438.22398967977927,394.0922215705608,327.6571786636617,363.1615980599324
PDE4B,2298.2856209771435,2220.6252897305426,2709.3381714461616,2270.043428855973,2340.603052784358,2450.858084166747,2259.4596332197098,1991.1497302950695,2182.1866853124047,2349.6138654797405,2963.501664414019,2275.178843460041,2440.6782859560035,2310.2728663766866
TCTEX1D1,228.84498765221772,197.42093750362386,192.1601081950802,264.50724854831634,218.93575776157348,180.54363822865363,186.52666207097218,179.44503635241526,174.76134692838266,207.9228584528685,192.8567449135412,154.8219441884346,207.54344982685802,184.48941594806632
LINC02238,53.7687363538162,49.71549156113156,105.03161193271464,21.110907161133227,62.40197926537601,105.53517017230477,39.792354575140735,28.75721736416911,61.74900924802854,41.92683153987883,74.46943615473373,105.5604164921145,61.28251471265493,78.94817349128965
LRRIQ3,161.3062090614486,190.9363081695632,227.96633953577836,176.33816569887756,144.89951117553414,252.93553181792055,162.89995154198238,136.88435465344497,194.56763291359937,183.96466900150918,252.05039929294495,311.7550967067115,201.00664825750817,246.81692133592657
ERICH3,93.76743047067947,69.88989393376465,102.64452984333477,94.37817319094854,63.45963993089086,102.04640421619553,74.61066482838888,64.41616689573881,86.21559781800212,64.1737217447125,100.24731790060311,125.26502757064254,78.44161883219832,118.8377769395202
ADGRL4,159.99477646745308,176.52602076053958,210.06322386542928,156.4690766060463,197.78254445127652,259.913063730139,206.42283935854255,149.5375302936794,173.59627128219344,231.88104790422784,346.5692990277993,260.3823606805491,203.45794884601438,268.4237898703848
LINC01140,317.36668774691515,298.29294936678934,386.70729847954027,337.77451457813163,302.49095033724643,354.9819360341161,353.157146854374,308.2773701438929,358.84329902627906,308.88951399788283,315.0629991161812,306.12520782713204,314.583575524962,362.3305646547609
PKN2-AS1,570.47317838805,559.8396658405684,628.996130551598,551.3672223260678,501.3311554540378,616.6393827423097,543.4143421667657,533.7339542789788,611.6647142493393,546.7601092649505,560.4302438824193,647.4372211516356,555.628133394738,633.2474547406601
GLMN,167.2076557344284,205.34659557858686,212.45030595480915,197.44907286001077,191.43658045818742,216.30348927877344,187.77017315144533,150.68781898824616,220.19929712976216,210.48980732265701,222.45357210324306,232.93665239259934,213.26315120003915,179.50321551703752
PLPPR5,135.733273478536,164.99779083332066,188.5794850610104,136.599987513215,147.01483250656383,195.37089354211793,129.3251523692074,116.17915815124321,164.27566611267972,185.67596824803485,251.09566293198682,256.15994402086454,174.04234178394,182.8273491377234
LOC100129620,122.61894753858084,175.0849920196372,219.6115522229488,95.6199912592505,177.6869918064944,248.57457437278399,130.5686634496805,123.08089031864381,198.06285985216704,155.72823143383567,208.1325266888712,293.4579578480783,138.9070333486845,207.75835129286747
LOC102606465,421.6255789695587,363.8597570778469,430.868317133068,454.5054129985154,396.6227495680679,447.43423387101114,405.3846122342462,366.9420935667979,436.90336732095665,391.8875274543777,404.8082170462449,382.83244381140196,464.9300116200087,413.02360237022054
LOC101928436,151.4704646064822,136.1772160152734,184.99886192694055,168.88725728906581,156.53377849619747,182.28802120670827,129.3251523692074,116.17915815124321,158.45028788173363,138.615238968579,297.8777446189349,206.19468021459699,165.05423962608396,181.16528232738045
LINC01677,66.22734599677361,82.13863823143474,115.77348133492409,59.60726727849382,117.4003338721481,129.9565318650695,59.688531862711095,50.61270256093764,83.88544652562368,112.09010064743117,169.9430722505462,155.52568029838204,75.99031824369212,108.86537607746256
CELSR2,604.5704258319333,612.4372148835047,509.642026082604,624.6344883558831,547.8682247366911,575.6463827580261,688.9051385821239,669.468020237857,676.9089504359356,559.594853613893,523.1955258050524,528.50581857052,562.1649349640879,614.9647198268877
PGBP,25.57293558291258,25.93851733624255,34.61269029600823,18.627271024529318,29.614498634415735,24.42136169276474,31.087777011828695,20.705196502201762,30.291966800919663,27.380787944410667,35.32524535545062,19.70461107852804,20.42750490421831,24.9310021551441
SYCP1,215.0749454152648,237.04922787843887,247.0629962508174,214.83452581623814,211.53213310296954,319.22208498399624,202.6923061171231,151.83810768281293,236.51035617641122,225.03585091812516,247.2767174881543,408.16694376950943,214.0802513962079,250.14105495661246
ANKRD20A12P,20.327205206930515,26.65903170669373,39.38685447476799,13.6599987513215,30.672159299930584,47.97053189650217,28.6007548508824,18.404619113068232,24.466588569973574,34.225984930513334,55.374708935571235,47.15031936647781,22.878805492724506,45.70683728443085
LOC101927429,79.99738823372654,107.35664119722611,133.67659700527318,81.959992507929,107.88138788251446,132.57310633215147,90.7763088745398,120.78031292951027,100.19650557227273,94.9771081821745,116.47783603689122,142.15469420938086,109.49142628661014,107.20330926711962
CERS2,269.49939806607875,218.31585424670814,202.90197759728966,233.46179684076748,217.87809709605864,247.70238288375666,298.4426593135555,284.12130755799086,302.91966800919664,266.962682458004,195.72095399641557,198.45358300517526,268.82596453951294,264.26862284452744
RORC,291.1380358670048,333.5981535188972,340.1591977366326,250.84724979699482,342.68205562681067,282.59004244484913,332.0174584863305,351.98834053742996,407.77647616622625,313.167762114197,335.1124626963018,406.75947154961455,307.22967375944336,256.78932219798423
FLG-AS1,32.13009855289017,39.62829037481501,45.354559698217685,23.594543297737136,24.326195306841498,71.5197021002396,29.844265931355547,29.907506058735876,31.45704244710888,34.225984930513334,33.41577263353437,68.26240266490072,23.69590568889324,33.2413362068588
PGLYRP4,113.43891938061223,103.7540693449702,89.51557835174543,75.75090216641922,72.9785859205245,109.89612761744134,94.50684211595924,82.82078600880705,73.39976570992071,98.39970667522583,83.06206340335686,74.59602765442759,91.51522197089803,103.87917564643374
DAP3,551.4574057751149,667.1963070377944,631.3832126409778,664.3726665415458,639.8847026364829,648.0382763472929,613.0509626732619,610.803296814952,667.5883452664218,668.2623557682729,696.957543499431,686.8464433086917,721.4994732169907,650.699156249261
FCRL3,106.88175641063464,79.9770951200812,97.870365664575,117.97271648868569,81.43987124464327,123.85119144187833,73.36715374791572,100.07511642730852,71.06961441754228,88.98756081933466,71.60522707185936,77.4109720942173,125.83343020998478,115.51364331883433
FCRL2,148.19188312149342,132.57464416301747,158.7409589437619,132.87453330830914,151.24547516862322,179.6714467396263,164.14346262245553,119.6300242349435,121.16786720367865,140.32653821510468,117.43257239784934,107.6716248219568,160.96873864524028,147.09291271535017
CD5L,48.52300597783413,46.83343407932683,63.25767536856677,37.254542049058635,46.5370692826533,60.18121274288454,44.766398897033326,19.554907807634997,50.098252786136364,48.7720285259815,40.09892716024124,33.07559716752921,60.4654145164862,58.1723383620029
