Geneid	A01	A04	A05	A14	A15	A16	A19	A20	A25	A26	A30	A31	A33	A36	A38	A41	A43	A50	A51	A57
CBL	1141.291244	1002.224907	1158.36036	1301.601453	1211.898368	1126.196131	1152.164749	1253.543494	1155.469285	1136.492194	1052.149286	1149.336654	1205.465796	1262.777039	1253.7618	912.0174029	1221.73345	1103.709657	1335.832222	1296.117054
USP2	329.0651463	468.5943409	354.2608813	342.2759159	386.0039267	261.7867031	277.5457595	341.3113475	319.3337964	497.6596737	318.9773853	352.7814647	272.6109725	315.5028138	348.3410304	289.6499715	260.6764198	464.7198558	266.7407941	325.3066456
MIR100HG	1870.637128	1080.601896	1872.076563	1709.791292	2671.235151	1636.423548	1660.609922	1646.982393	1973.550565	1426.962942	1843.403635	1502.118118	1642.005625	1690.084248	1878.648382	1272.602061	1775.296307	1886.807299	1655.069874	1944.175581
CRTAM	187.8618186	257.6435077	193.233208	197.7417704	170.4575745	156.0454073	204.0777643	173.7585042	196.3395073	178.7512297	192.3386025	171.5427841	190.1937018	211.3562539	218.0455305	130.046926	197.7545254	224.5401226	226.3040248	235.8898975
GRAMD1B	2145.062726	2379.658806	2316.720719	2185.483342	1585.805306	1822.240777	2015.122153	1769.854478	1914.874391	2240.484164	2143.337595	1531.951646	2348.439375	1920.58509	2027.557524	1634.03118	2091.40392	1838.771352	2025.385551	2135.782898
PKNOX2	952.8154983	1918.568645	1018.110451	908.5003429	1116.222181	1396.19575	907.2714322	925.8846007	918.5078102	1795.637353	1274.95737	1410.380021	1059.650624	951.8689262	1091.557198	1514.962241	1017.237293	1283.565179	851.3004067	1107.064501
VSIG10L2	98.8423294	196.7762713	57.13885182	50.82519401	96.77591326	114.9808265	68.80336054	78.19132687	71.08844232	94.45377481	97.12147253	134.9967127	75.17179641	60.49689877	56.5057015	133.4247682	55.43119271	107.2430436	56.04394344	61.31434158
BARX2	260.305265	652.8636458	222.322078	189.0061902	276.031298	487.6418979	215.7393508	215.956998	159.1027042	398.127739	344.6860103	433.3319895	298.8758171	187.6169645	237.9887192	890.0614284	225.4701217	547.3863686	191.5425915	275.9145371
LINC01395	18.41782535	113.3964953	10.38888215	18.2653041	5.498631435	44.14442445	8.163110572	14.89358607	10.15549176	40.62527949	46.65639366	38.78358598	29.88758171	10.7209694	22.6022806	56.5788574	6.741631546	33.51345114	11.35067209	22.99287809
ST14	774.7765199	1203.170167	815.5272488	826.7035463	818.1963575	882.8884889	665.876591	697.516281	801.155461	828.7557015	765.5457246	968.8438112	805.1533375	665.4658865	672.7502343	1246.423784	704.8750316	1031.09718	664.7237342	806.4539094
TSPAN9	4563.323195	4689.2786	4859.91907	4329.671214	4345.01856	4114.671004	5202.233752	5072.507189	4583.511947	3859.401551	3846.772049	4348.236658	4521.175996	5087.099981	4689.308451	4804.980576	4262.209277	4767.846982	4734.649095	4192.368106
TIGAR	241.8874397	246.8041368	294.0053648	264.4498376	256.2362249	228.9350384	246.0594758	239.5385093	235.8330864	191.9544456	242.8036813	205.8513409	248.1574966	281.042555	235.9944004	195.070389	250.1894374	259.1706888	289.4421383	265.6954802
FGF6	155.3236605	80.87838268	207.777643	179.4764663	113.2718076	99.58160863	151.6006249	163.8294468	167.00142	100.5475667	125.6866115	133.5050363	188.3823332	209.8246869	184.1421096	118.2244782	131.8363502	183.2068662	184.4484215	168.6144393
RAD51AP1	108.6651696	105.8923155	109.0832626	100.0621007	84.6789241	79.04931819	118.9481826	119.1486886	99.29814165	101.5631987	102.8345003	84.27971568	119.5503268	101.8492093	98.3863979	99.64634587	110.1133153	67.02690227	131.242146	97.93262891
AKAP3	127.0829949	171.7623385	189.0776551	164.3877369	191.3523739	120.1138991	160.9298941	193.6166189	163.6162561	162.5011179	152.3474079	123.8091398	178.4198059	150.0935716	146.2500509	137.647071	163.2972974	166.4501406	175.2260004	181.3882605
KCNA6	296.5269882	194.274878	330.3664524	288.2741473	202.3496368	186.843843	293.8719806	290.4249284	235.8330864	236.642253	241.85151	269.2475873	260.8370767	279.510988	281.8637345	180.7145595	271.1634022	260.2878038	273.1255471	257.1795994
